granularity,timestamp_ist,temperature_c,feels_like_c,wind_speed_mps,wind_direction_deg,cloud_cover_pct,solar_irradiance_wm2,snowfall_mm,precipitation_mm,humidity_pct,pressure_hpa,solar_kw,wind_kw,hydropower_kw,geothermal_kw,marine_energy_kw,biomass_biogas_kw,solar_thermal_kw,h2_kw,battery_kwh,diesel_kw,chp_kw,demand_kw
hour,2026-09-09T11:00:00+05:30,-16.2,-19.7,7.9,170.6,50.0,100.1,0.0,0,86.9,1020.5,14.67,166.69,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,202.04
hour,2026-09-09T12:00:00+05:30,-17.0,-20.4,5.6,170.6,29.4,59.4,0.0,0,86.9,1020.5,10.75,86.33,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,200.82
hour,2026-09-09T13:00:00+05:30,-13.9,-17.3,6.7,170.6,45.2,74.4,0.0,0,86.9,1020.5,8.18,122.41,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,184.46
hour,2026-09-09T14:00:00+05:30,-21.4,-23.6,5.1,170.6,20.9,78.9,0.0,0,86.9,1020.5,13.64,72.43,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,212.0
hour,2026-09-09T15:00:00+05:30,-19.5,-22.9,5.6,170.6,53.2,0.0,0.0,0,86.9,1020.5,5.18,86.02,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,200.54
hour,2026-09-09T16:00:00+05:30,-18.1,-20.9,5.1,170.6,43.1,0.0,0.0,0,86.9,1020.5,0.0,69.66,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,201.57
hour,2026-09-09T17:00:00+05:30,-16.3,-20.2,4.2,170.6,43.2,53.8,0.0,0,86.9,1020.5,0.0,37.99,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,184.35
hour,2026-09-09T18:00:00+05:30,-19.5,-21.6,0.0,170.6,16.1,57.1,0.0,0,86.9,1020.5,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,183.07
hour,2026-09-09T19:00:00+05:30,-18.4,-20.6,0.0,170.6,25.3,0.0,0.0,0,86.9,1020.5,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,191.09
hour,2026-09-09T20:00:00+05:30,-19.3,-21.7,2.0,170.6,18.6,10.9,0.0,0,86.9,1020.5,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,185.91
hour,2026-09-09T21:00:00+05:30,-23.4,-27.4,0.0,170.6,35.5,0.0,0.0,0,86.9,1020.5,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,0.0,60.0,190.82
hour,2026-09-09T22:00:00+05:30,-22.0,-24.1,5.2,170.6,6.3,4.8,0.0,0,86.9,1020.5,0.0,77.59,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,0.0,60.0,181.13
hour,2026-09-09T23:00:00+05:30,-22.6,-25.6,4.5,170.6,8.6,0.0,0.0,0,86.9,1020.5,0.0,50.32,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,181.52
hour,2026-09-10T00:00:00+05:30,-20.3,-21.6,4.3,170.6,79.9,0.0,2.02,0,86.9,1020.5,0.0,48.22,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,177.63
hour,2026-09-10T01:00:00+05:30,-23.0,-24.5,13.2,170.6,78.0,0.0,0.76,0,86.9,1020.5,0.0,300.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,187.25
hour,2026-09-10T02:00:00+05:30,-20.7,-24.5,14.3,170.6,97.8,28.4,1.3,0,86.9,1020.5,0.0,300.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,177.38
hour,2026-09-10T03:00:00+05:30,-24.1,-27.9,15.4,170.6,71.4,8.6,0.0,0,86.9,1020.5,0.0,300.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,191.51
hour,2026-09-10T04:00:00+05:30,-20.4,-24.3,14.2,170.6,81.0,0.0,0.37,0,86.9,1020.5,0.0,300.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,182.34
hour,2026-09-10T05:00:00+05:30,-19.1,-20.3,9.5,170.6,55.6,2.0,0.0,0,86.9,1020.5,0.0,213.09,0.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,195.87
hour,2026-09-10T06:00:00+05:30,-20.0,-23.2,11.0,170.6,67.7,10.0,0.0,0,86.9,1020.5,0.0,272.48,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,198.99
hour,2026-09-10T07:00:00+05:30,-15.8,-17.5,4.8,170.6,75.5,12.2,0.0,0,86.9,1020.5,0.0,61.61,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,195.61
hour,2026-09-10T08:00:00+05:30,-17.8,-21.4,17.1,170.6,45.8,0.0,0.0,0,86.9,1020.5,0.0,300.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,204.46
hour,2026-09-10T09:00:00+05:30,-17.3,-20.5,9.8,170.6,59.4,46.5,0.0,0,86.9,1020.5,10.95,225.34,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,204.98
hour,2026-09-10T10:00:00+05:30,-17.3,-19.2,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:13:25.746011+05:30,-17.2,-19.5,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:14:25.746011+05:30,-17.3,-18.3,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:15:25.746011+05:30,-17.3,-20.0,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:16:25.746011+05:30,-17.3,-19.9,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:17:25.746011+05:30,-17.3,-20.2,13.4,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:18:25.746011+05:30,-17.2,-21.1,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:19:25.746011+05:30,-17.3,-18.7,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:20:25.746011+05:30,-17.4,-21.2,13.2,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:21:25.746011+05:30,-17.3,-20.2,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:22:25.746011+05:30,-17.3,-19.5,13.4,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:23:25.746011+05:30,-17.2,-19.0,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:24:25.746011+05:30,-17.3,-18.4,13.2,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:25:25.746011+05:30,-17.3,-19.0,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:26:25.746011+05:30,-17.3,-18.6,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:27:25.746011+05:30,-17.3,-18.5,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:28:25.746011+05:30,-17.2,-19.8,13.3,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
minute,2026-09-10T10:29:25.746011+05:30,-17.4,-20.2,13.2,170.6,49.6,28.6,0.0,0,86.9,1020.5,9.59,300.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,206.69
