run_start_ist,run_end_ist,seconds,minutes,hours,file
2026-09-10 10:12:11,2026-09-10 10:12:40,29,60,24,runs_history/run_20260910_101211.csv
2026-09-10 10:12:57,2026-09-10 10:15:26,150,60,24,runs_history/run_20260910_101257.csv
2026-09-10 10:20:21,2026-09-10 10:20:54,33,60,24,runs_history/run_20260910_102021.csv
2026-09-10 10:21:25,2026-09-10 10:21:51,26,60,24,runs_history/run_20260910_102125.csv
2026-09-10 10:48:05,2026-09-10 10:48:26,20,60,24,runs_history/run_20260910_104805.csv
2026-09-10 10:49:54,2026-09-10 10:50:15,20,60,24,runs_history/run_20260910_104954.csv
2026-09-10 10:51:15,2026-09-10 10:51:23,9,0,0,runs_history/run_20260910_105115.csv
2026-09-10 10:51:35,2026-09-10 10:51:54,18,60,24,runs_history/run_20260910_105135.csv
2026-09-10 10:55:56,2026-09-10 10:56:25,20,60,24,runs_history/run_20260910_105556.csv
2026-09-10 11:01:11,2026-09-10 11:01:38,17,60,24,runs_history/run_20260910_110111.csv
2026-09-10 11:10:12,2026-09-10 11:10:34,18,60,24,runs_history/run_20260910_111012.csv
2026-09-10 11:13:25,2026-09-10 11:14:14,45,60,24,runs_history/run_20260910_111325.csv
2026-09-10 11:38:14,2026-09-10 11:38:36,21,60,24,runs_history/run_20260910_113814.csv
